"ba37-FL210-1_500 - RawData"
"Wavelength nm."	"Abs."
736,00	-0,00029
737,00	-0,00038
738,00	-0,00095
739,00	-0,00096
740,00	-0,00105
741,00	-0,00122
742,00	-0,00089
743,00	-0,00084
744,00	-0,00075
745,00	-0,00096
746,00	-0,00140
747,00	-0,00110
748,00	-0,00078
749,00	-0,00081
750,00	-0,00021
751,00	-0,00035
752,00	0,00012
753,00	-0,00052
754,00	-0,00105
755,00	-0,00119
756,00	-0,00081
757,00	-0,00040
758,00	-0,00012
759,00	-0,00058
760,00	-0,00252
761,00	-0,00101
762,00	-0,00058
763,00	-0,00075
764,00	-0,00159
765,00	-0,00095
766,00	-0,00089
767,00	-0,00063
768,00	-0,00006
769,00	-0,00085
770,00	-0,00085
771,00	-0,00066
772,00	-0,00093
773,00	-0,00060
774,00	-0,00052
775,00	0,00024
776,00	-0,00029
777,00	0,00020
778,00	-0,00078
779,00	-0,00125
780,00	-0,00044
781,00	-0,00095
782,00	0,00015
783,00	0,00005
784,00	0,00018
785,00	0,00018
786,00	-0,00035
787,00	-0,00049
788,00	0,00040
789,00	-0,00020
790,00	0,00073
791,00	-0,00006
792,00	-0,00011
793,00	0,00037
794,00	-0,00056
795,00	-0,00012
796,00	-0,00047
797,00	0,00023
798,00	0,00037
799,00	0,00067
800,00	-0,00024
